Year,Category,Highest Wind Speed,Damage(USD),Fatalities
2000,Category 1,85,737000,1
2000,Category 1,80,5100000,26
2000,TS,70,16000000,2
2000,TS,45,950000000,3
2001,TS,60,9000000000,55
2001,TS,70,30000000,9
2001,Category 1,80,230000000,3
2001,Category 4,140,2430000000,48
2002,TS,60,,1
2002,TS,40,200000,1
2002,TS,50,,3
2002,TS,65,,0
2002,TS,60,20000000,3
2002,Category 3,125,1280000000,22
2002,Category 4,145,1160000000,15
2002,Category 1,85,5000000,1
2003,TS,60,,2
2003,TS,60,50500000,4
2003,Category 1,90,181000000,3
2003,Category 1,75,100000,2
2003,TS,40,113000,0
2003,TS,60,19600000,0
2003,Category 5,165,3600000000,51
2004,TS,65,1270000,4
2004,Category 4,150,16900000000,35
2004,Category 4,145,10100000000,50
2004,Category 5,107,4000000000,29
2004,Category 3,128,7500000000,6
2004,TS,45,305000,0
2005,TS,70,11800000,2
2005,Category 1,75,320000000,3
2005,Category 4,150,3980000000,88
2005,Category 5,97,623000000,14
2005,Category 1,85,70000000,4
2005,Category 5,58,18500000000,120
2005,TS,60,30000000,10
2005,Category 5,135,26500000000,52
2006,TS,70,420000,7
2006,TS,75,500000000,11
2007,TS,60,,6
2007,TS,60,118000,3
2007,Category 5,175,1660000000,45
2007,TS,60,,1
2007,Category 1,90,50000000,1
2007,Category 1,80,580000000,222
2007,TS,60,45000000,40
2008,TS,65,10000,0
2008,Category 2,100,1600000000,22
2008,TS,65,550000,6
2008,TS,70,560000000,36
2008,Category 4,155,8310000000,153
2008,Category 1,85,160000000,537
2008,Category 4,145,38000000000,214
2008,Category 4,145,455000000,1
2009,TS,60,350000,2
2009,Category 4,130,46200000,2
2009,TS,60,,1
2009,Category 2,105,11400000,4
2010,Category 2,110,1520000000,73
2010,TS,45,1360000,1
2010,Category 4,130,,1
2010,Category 4,145,45000000,8
2010,Category 4,155,200000000,4
2010,TS,45,245000000,20
2010,Category 2,105,,1
2011,TS,70,,0
2011,Category 3,120,14200000000,58
2011,TS,60,2800000000,18
2011,Category 4,140,157000000,4
2011,Category 3,115,2300000,0
2011,TS,65,,1
2012,TS,70,148000,3
2012,TS,65,250000000,8
2012,Category 1,80,3110000000,41
2012,Category 3,115,68700000000,233
2013,TS,65,86000,4
2013,TS,65,18000,0
2014,Category 1,80,,4
2015,TS,60,,2
2015,TS,50,511000000,35
2015,Category 4,155,200000000,34
2015,Category 5,215,463000000,13
2016,TS,45,640000,2
2016,TS,50,1040000,6
2016,Category 1,50,550000000,5
2016,TS,50,6130000,0
2016,Category 2,100,2770000000,12
2016,Category 4,140,15000000,2
2017,TS,60,25000000,3
2017,TS,60,10000000,0
2017,Category 4,130,125000000000,107
2017,Category 5,180,77200000000,134
2017,Category 5,175,91600000000,3059
2017,Category 1,90,737000000,48
2017,TS,40,100000000,5
2018,TS,65,125000000,18
2018,TS,70,250000000,4
2018,Category 4,150,24200000000,54
2018,Category 5,160,25500000000,74
2019,Category 1,75,900000000,3
2019,Category 5,185,5100000000,84
2019,Category 3,125,25000000,2
2019,Category 5,160,367000000,20
2019,TS,60,150000000,3
2020,TS,60,112000,0
2020,TS,50,130000,1
2020,TS,60,865000000,46
2020,TS,60,220000000,6
2020,Category 1,90,1200000000,9
2020,Category 1,90,"5.030,000,000",17
2020,Category 1,75,35000000,0
2020,Category 4,150,23300000000,81
2020,Category 2,110,7300000,9
2020,Category 1,75,100000000,6
2020,Category 4,140,3090000000,6
2020,Category 3,115,4400000000,9
2020,Category 4,150,8300000000,275
2021,Category 1,85,1200000000,13
2021,TS,65,1300000000,7
2021,TS,60,75200000,23
2022,TS,70,,4
2022,Category 5,160,113000000000,161
2022,Category 1,75,1000000000,11
2023,Category 4,130,3600000000,12
2023,Category 5,165,50000000,4
